Kefiya Document Service,Kefiya Dokumentendienst
Deleted: {0},Gelöscht: {0}
Not deleted,Nicht gelöscht
One account at a time,Nur ein Konto auf einmal
Orders from several accounts are selected. A collective order always leaves from exactly one account — please send them one account at a time.,Es sind Aufträge von mehreren Konten markiert. Ein Sammelauftrag geht immer von genau einem Konto ab — bitte je Konto einzeln senden.
{0} orders over {1} go from {2} to the bank.,{0} Aufträge über {1} gehen von {2} an die Bank.
The bank will usually ask for a release (TAN or a confirmation in its app). Nothing is debited until then.,Die Bank verlangt in aller Regel eine Freigabe (TAN oder Bestätigung in ihrer App). Bis dahin ist nichts abgebucht.
Sending to the bank …,Sende an die Bank …
Not sent,Nicht abgesendet
The bank asks for a release.,Die Bank verlangt eine Freigabe.
Handed to the bank: {0} orders,An die Bank übergeben: {0} Aufträge
Not a draft any more.,Kein Entwurf mehr.
No transfers selected.,Keine Überweisungen markiert.
Ordering party,Auftraggeber
This order is with the bank. Nothing about it can be changed here any more.,Dieser Auftrag liegt bei der Bank. Hier lässt sich nichts mehr daran ändern.
"Approved orders are locked: amounts and recipients stand. To change something, cancel the order and enter a new one.",Freigegebene Aufträge sind festgeschrieben: Beträge und Empfänger stehen. Zum Ändern den Auftrag abbrechen und neu erfassen.
"No receipt is attached, neither here nor on {0}.",Es hängt kein Beleg daran — weder hier noch an {0}.
from {0} {1},aus {0} {1}
Not sent — no signature,Nicht abgesendet — keine Signatur
"The bank asked for no TAN, but it requires {0} signature(s) for ""{1}"" on this account. An order without the signature it needs is not executed, so it has NOT been marked as sent.

Please check the online banking before sending again: if the transfer is there after all, cancel this order instead of repeating it.","Die Bank hat keine TAN verlangt, verlangt für „{1}“ auf diesem Konto aber {0} Signatur(en). Ein Auftrag ohne die nötige Signatur wird nicht ausgeführt — er wurde deshalb NICHT als abgesendet vermerkt.

Bitte vor einem erneuten Senden im Online-Banking nachsehen: steht die Überweisung doch dort, diesen Auftrag stornieren statt ihn zu wiederholen."
Bank challenge,Aufforderung der Bank
"Scan this with your banking app, then enter the TAN it shows.","Mit der Banking-App scannen, dann die angezeigte TAN eintragen."
"Comes from the paying account. Whose money is sent is decided by the account, not chosen here.","Kommt vom abgehenden Konto. Wessen Geld gesendet wird, entscheidet das Konto — nicht die Auswahl hier."
"The paying account {0} does not name a company, so there is nothing to put on the order as the ordering party. Set the company on the Bank Account first.","Das abgehende Konto {0} nennt keine Gesellschaft, also steht nichts als Auftraggeber auf dem Auftrag. Bitte zuerst die Gesellschaft am Bankkonto setzen."
Optional first: it narrows the accounts below to that company. Choosing an account sets it.,Zuerst wählbar: schränkt die Konten darunter auf diese Gesellschaft ein. Ein gewähltes Konto setzt sie.
"{0} belongs to {1}, not to {2} — the paying account was cleared.","{0} gehört zu {1}, nicht zu {2} — das abgehende Konto wurde geleert."
Balance {0},Saldo {0}
overdraft {0},Dispo {0}
available {0},verfügbar {0}
as at {0},Stand {0}
No balance has been fetched for this account yet.,Für dieses Konto wurde noch kein Saldo abgerufen.
"The bank does not allow ""{0}"" on this account.",Die Bank erlaubt „{0}“ auf diesem Konto nicht.
"The bank does not allow ""{0}"" on this account. Several payments go out as one collective order, which the bank rules on separately from a single one.","Die Bank erlaubt „{0}“ auf diesem Konto nicht. Mehrere Zahlungen gehen als ein Sammelauftrag raus, über den die Bank getrennt von einer einzelnen entscheidet."
Not offered on this account,Auf diesem Konto nicht angeboten
"An instant payment is executed within seconds, so the bank cannot hold it until {0}. Either let the date be kept here -- the order is then sent as an instant payment on the day -- or hand the date to the bank as an ordinary transfer.","Eine Echtzeitüberweisung wird binnen Sekunden ausgeführt, die Bank kann sie also nicht bis zum {0} halten. Entweder den Termin hier halten — dann geht der Auftrag am Tag als Echtzeitüberweisung raus — oder den Termin als gewöhnliche Überweisung an die Bank geben."
Sent as an ordinary transfer,Geht als gewöhnliche Überweisung
"The bank cannot hold an instant payment until a future date, so it was switched off. Tick ""keep the date here"" to send it as an instant payment on the day.",Die Bank kann eine Echtzeitüberweisung nicht bis zu einem künftigen Termin halten — sie wurde deshalb abgeschaltet. Mit „Termin bei uns halten“ geht sie am Tag als Echtzeitüberweisung raus.
"The bank cannot hold an instant payment until a future date. Choose ""held here"" to send it as an instant payment on the day.",Die Bank kann eine Echtzeitüberweisung nicht bis zu einem künftigen Termin halten. Mit „bis dahin hier gehalten“ geht sie am Tag als Echtzeitüberweisung raus.
Payee check,Empfängerprüfung
Payee check detail,"Empfängerprüfung, Einzelheiten"
"Checked against our own payment history when the order is entered, so it is a recorded fact by the time somebody sends it.",Wird beim Erfassen gegen unsere eigene Zahlungshistorie geprüft — beim Absenden steht das Ergebnis damit fest.
Payee known,Empfänger bekannt
"Known payee, new IBAN","Bekannter Empfänger, neue IBAN"
IBAN known under another name,IBAN unter anderem Namen bekannt
New payee,Neuer Empfänger
This IBAN was paid before under this name.,An diese IBAN wurde unter diesem Namen bereits gezahlt.
"This IBAN was paid before, but to somebody else.",An diese IBAN wurde bereits gezahlt — an jemand anderen.
"We have paid this payee before, always to a different IBAN. Check the invoice against an earlier one before releasing this.","Diesen Empfänger haben wir schon bezahlt, bisher immer an eine andere IBAN. Bitte die Rechnung mit einer früheren vergleichen, bevor Sie freigeben."
First payment to this IBAN. Worth a second pair of eyes.,Erste Zahlung an diese IBAN. Ein zweiter Blick lohnt sich.
So far: {0},Bisher: {0}
{0} of these recipients need a look,{0} Empfänger brauchen einen Blick
Paid before under this name.,Vorher unter diesem Namen bezahlt.
"This IBAN was paid before, but under: {0}","An diese IBAN wurde bereits gezahlt, aber unter: {0}"
another name,einem anderen Namen
"We have paid this payee before, always to a different IBAN: {0}. Check the invoice against an earlier one before releasing this.","Diesen Empfänger haben wir schon bezahlt, bisher immer an eine andere IBAN: {0}. Bitte die Rechnung mit einer früheren vergleichen, bevor Sie freigeben."
"First payment to this IBAN, and this payee is not in our history. Worth a second pair of eyes.","Erste Zahlung an diese IBAN, und dieser Empfänger steht nicht in unserer Historie. Ein zweiter Blick lohnt sich."
Already sent,Schon abgesendet
Approve and send,Freigeben und senden
Connected documents,Verbundene Dokumente
"Named in the reference of this order. Amounts and receipts are changed there, not here.","Im Verwendungszweck dieses Auftrags genannt. Beträge und Belege werden dort geändert, nicht hier."
No receipt,Kein Beleg
Not approved yet,Noch nicht freigegeben
Not due until {0},Fällig erst am {0}
Nothing was approved.,Es wurde nichts freigegeben.
Open the order to see the receipts,"Auftrag öffnen, um die Belege zu sehen"
Payee verification still open,Empfängerprüfung offen
This file type cannot be shown here — open it with the link above.,Dieser Dateityp lässt sich hier nicht anzeigen — bitte über den Link darüber öffnen.
With the bank until its date,Liegt bei der Bank bis zum Termin
{0} of them are still drafts and are approved as they are sent. Approving locks their amounts and recipients.,Davon sind {0} noch Entwürfe; sie werden mit dem Senden freigegeben. Die Freigabe schreibt Beträge und Empfänger fest.
{0} orders are being sent; the rest were not approved.,{0} Aufträge gehen raus; der Rest wurde nicht freigegeben.
"{0} selected orders are not being sent — they are held back, already sent, or not due yet.","{0} ausgewählte Aufträge gehen nicht raus — sie sind zurückgestellt, schon abgesendet oder noch nicht fällig."
Approving and sending …,Freigeben und senden …
We have paid this payee at these IBANs:,An diesen IBANs haben wir diesen Empfänger schon bezahlt:
not found in this system,in diesem System nicht gefunden
BIC,BIC
Transfer type,Art der Überweisung
Instant payment — arrives within seconds,Echtzeitüberweisung — kommt binnen Sekunden an
SEPA transfer — one banking day,SEPA-Überweisung — ein Bankarbeitstag
{0} receipts,{0} Belege
Execution date has passed,Ausführungstermin liegt in der Vergangenheit
"{0} is dated {1}, which has passed, and the bank is meant to hold it until then. A bank cannot execute an order in the past. Change the date, or set it to be held here and sent on the day.",{0} ist auf den {1} datiert — der ist vorbei — und die Bank soll den Auftrag bis dahin halten. Eine Bank kann keinen Auftrag in der Vergangenheit ausführen. Bitte das Datum ändern oder den Auftrag hier halten lassen und am Termin senden.
Refused by the bank,Von der Bank abgelehnt
"The bank refused this order. It was NOT sent.

{0}","Die Bank hat diesen Auftrag abgelehnt. Er wurde NICHT abgesendet.

{0}"
What the bank said:,Was die Bank gesagt hat:
What this means:,Was das bedeutet:
The bank could not process the message at all. Nothing was sent.,Die Bank konnte die Nachricht gar nicht verarbeiten. Es wurde nichts gesendet.
The bank rejected the order data. The detail in brackets usually names the field it objected to.,Die Bank hat die Auftragsdaten zurückgewiesen. Der Zusatz in Klammern nennt meist das beanstandete Feld.
A SEPA order cannot be sent while a bank fetch is running. Wait for the fetch to finish and send it again.,"Während ein Bankabruf läuft, kann kein SEPA-Auftrag gesendet werden. Bitte den Abruf abwarten und dann erneut senden."
A collective transfer requires a control sum.,Ein Sammelauftrag verlangt eine Kontrollsumme.
An instant payment cannot be scheduled for a later date.,Eine Echtzeitüberweisung lässt sich nicht auf einen späteren Termin legen.
Bank Transaction import completed,Import der Banktransaktionen abgeschlossen
Connection established,Verbindung steht
Could not conntect to fints server with error<br>{0},Verbindung zum FinTS-Server nicht möglich<br>{0}
Could not load sepa accounts with error:<br>{0},Die SEPA-Konten konnten nicht geladen werden:<br>{0}
Error parsing transactions<br>{0},Die Umsätze ließen sich nicht lesen<br>{0}
Failed to attach file,Die Datei konnte nicht angehängt werden
Found a total of '{0}' payments,Insgesamt {0} Zahlungen gefunden
Initialise TAN settings,TAN-Einstellungen einrichten
Initialise connection,Verbindung aufbauen
Loading accounts,Konten werden geladen
Loading accounts completed,Konten geladen
No FinTS account matching IBAN {0} for login {1}. The bank offered: {2}. Accounts without an IBAN (e.g. credit cards) cannot be fetched this way.,Kein FinTS-Konto mit der IBAN {0} für den Zugang {1}. Die Bank hat angeboten: {2}. Konten ohne IBAN — etwa Kreditkarten — lassen sich auf diesem Weg nicht abrufen.
No TAN mechanisms available,Kein TAN-Verfahren verfügbar
No new payments found,Keine neuen Zahlungen gefunden
No pending Verification of Payee for this login.,Für diesen Zugang steht keine Empfängerprüfung offen.
No transaction found,Keine Umsätze gefunden
SEPA account object has no key '{0}',Das SEPA-Konto hat keinen Schlüssel „{0}“
Start date is more than the allowed {0} days in the past,Das Startdatum liegt weiter als die erlaubten {0} Tage in der Vergangenheit
Start transaction import,Umsatzimport starten
and {0} more,und {0} weitere
no balance,kein Saldo
bank returned no balance,die Bank hat keinen Saldo geliefert
balance missing on the response,in der Antwort fehlt der Saldo
no running balance for {0},{0} führt keinen fortlaufenden Saldo
no bank account linked,kein Bankkonto verknüpft
field bank_balance not installed,das Feld bank_balance ist nicht installiert
no fetch window,kein Abrufzeitraum
no bookings in the window,keine Buchungen im Zeitraum
the bank sent no HIUPD,die Bank hat kein HIUPD gesendet
no bank account with this IBAN,kein Bankkonto mit dieser IBAN
capability fields not installed,die Felder für die Fähigkeiten sind nicht installiert
already present,bereits vorhanden
the bank named no limit,die Bank hat kein Limit genannt
no limit known,kein Limit bekannt
no list of documents found in the response,in der Antwort steht keine Dokumentenliste
no list of documents in the response,in der Antwort steht keine Dokumentenliste
run budget reached,Obergrenze des Laufs erreicht
Fetch the {0} unfinished accesses again,Die {0} nicht abgeschlossenen Zugänge erneut abrufen
None of these accesses is still configured.,Keiner dieser Zugänge ist noch eingerichtet.
Due today — goes to the bank now,Heute fällig — geht jetzt an die Bank
Due since {0} — goes to the bank today,Fällig seit {0} — geht heute an die Bank
Today — the bank executes it today,Heute — die Bank führt ihn heute aus
"Dated {0}, which has passed — the bank cannot execute this","Auf den {0} datiert, der vorbei ist — die Bank kann das nicht ausführen"
"counted as cash in the books, but this is {0}","in der Buchhaltung als Guthaben geführt, ist aber {0}"
Ledger,Buchhaltung
{0}: the bank is waiting for the release in your banking app. Confirm it there -- this login uses a decoupled procedure and issues no TAN to type in.,{0}: Die Bank wartet auf die Freigabe in Ihrer Banking-App. Dort bestätigen — dieser Zugang nutzt ein entkoppeltes Verfahren und gibt keine TAN zum Eintippen aus.
{0}: the bank requires a TAN before the bookings can be read. Enter it in the window.,"{0}: Die Bank verlangt eine TAN, bevor die Buchungen gelesen werden können. Bitte im Fenster eingeben."
The session is then open: fetch this access once more and the bookings come through without another TAN. The panel offers that as a link once the run has finished.,"Danach ist die Sitzung offen: Diesen Zugang noch einmal abrufen, dann kommen die Buchungen ohne weitere TAN durch. Das Panel bietet dafür einen Link an, sobald der Lauf fertig ist."
"Not attempted -- {0} is waiting for a release, and this bank access holds one dialog at a time.","Nicht versucht — {0} wartet auf eine Freigabe, und dieser Bankzugang hält immer nur einen Dialog offen."
The worker stopped reporting. Fetch this access again.,Der Hintergrundlauf meldet sich nicht mehr. Diesen Zugang bitte erneut abrufen.
Release accepted — fetching the {0} accounts that were waiting for it.,"Freigabe angenommen — die {0} Konten, die darauf gewartet haben, werden jetzt abgerufen."
Connection could not be rebuilt,Verbindung ließ sich nicht wiederherstellen
"The bank connection for {0} could not be rebuilt from its stored state, so this order was NOT sent as far as this app can tell. The stored state has been discarded and the next attempt will start a fresh connection.

Before sending again, look in your online banking: if the transfer is there after all, cancel this order instead of repeating it.","Die Bankverbindung für {0} ließ sich aus dem gespeicherten Zustand nicht wiederherstellen. Nach allem, was diese App erkennen kann, wurde der Auftrag NICHT gesendet. Der gespeicherte Zustand wurde verworfen, der nächste Versuch baut die Verbindung neu auf.

Bitte vor einem erneuten Senden im Online-Banking nachsehen: steht die Überweisung doch dort, diesen Auftrag stornieren statt ihn zu wiederholen."
{0}: the release did not arrive in time. Confirm it in your banking app and fetch this access again -- the challenge is still open.,{0}: Die Freigabe ist nicht rechtzeitig eingetroffen. Bitte in der Banking-App bestätigen und diesen Zugang erneut abrufen — die Anfrage ist noch offen.
Release received — carrying on.,Freigabe eingegangen — es geht weiter.
the bank refuses this query for this account,die Bank lehnt diese Abfrage für dieses Konto ab
Payee on the order,Empfänger laut Auftrag
Name at the Bank,Name bei der Bank
Bank's Answer,Antwort der Bank
"Once you release it, this payee is remembered: a later payment to the same name and the same IBAN goes through without asking again.",Mit der Freigabe wird dieser Empfänger gemerkt: Eine spätere Zahlung an denselben Namen und dieselbe IBAN geht ohne erneute Rückfrage durch.
Kefiya Accepted Payee,Kefiya Bestätigter Empfänger
Payee Name,Empfängername
Match Key,Vergleichsschlüssel
Who decided,Wer entschieden hat
Approved By,Freigegeben von
Approved On,Freigegeben am
Bank Access,Bankzugang
"The payee name as it stood on the order somebody approved. A different spelling is a different payee here, on purpose.","Der Empfängername, wie er auf dem freigegebenen Auftrag stand. Eine andere Schreibweise gilt hier bewusst als anderer Empfänger."
The account the money went to.,"Das Konto, auf das das Geld ging."
"What the bank answered when it checked: RVMC close match, RVNM no match, RVNA could not check.","Was die Bank bei der Prüfung geantwortet hat: RVMC fast gleich, RVNM keine Übereinstimmung, RVNA nicht prüfbar."
"The name the bank holds for that IBAN, where it named one.","Der Name, den die Bank zu dieser IBAN führt, sofern sie einen genannt hat."
"IBAN and payee name, normalised. This is what a later order is looked up by; it is unique, so one decision is stored once.","IBAN und Empfängername, vereinheitlicht. Danach wird ein späterer Auftrag gesucht; er ist eindeutig, damit eine Entscheidung genau einmal gespeichert ist."
The bank access the order went out through.,"Der Bankzugang, über den der Auftrag hinausging."
Payee check open,Empfängerprüfung offen
The bank is holding this order until the payee check is confirmed. Nothing has been sent. Send it to the bank again — the check then comes back for review and release.,"Die Bank hält diesen Auftrag zurück, bis die Empfängerprüfung bestätigt ist. Es wurde nichts gesendet. Den Auftrag erneut an die Bank senden — die Prüfung kommt dann zur Ansicht und Freigabe zurück."
"What the bank answered about the payee, as JSON: the result code, the name the bank holds for that IBAN, and who the order pays. The parsed segment it came from is in the Error Log; this is the part a person can read.","Was die Bank zum Empfänger geantwortet hat, als JSON: das Prüfergebnis, der Name, den die Bank zu dieser IBAN führt, und wer bezahlt wird. Das Segment, aus dem es stammt, steht im Fehlerprotokoll; das hier ist der Teil, den ein Mensch lesen kann."
The bank checked the payee for this order and will not release it until that check is confirmed. The order was NOT sent. Normally this app confirms the check itself and asks you only when the bank could not confirm the name. Why it did not get that far this time is in the Error Log -- most often the bank had not finished checking. Send this transfer from your online banking and report this message.,"Die Bank hat den Empfänger für diesen Auftrag geprüft und gibt ihn erst frei, wenn diese Prüfung bestätigt ist. Der Auftrag wurde NICHT gesendet. Normalerweise bestätigt die App die Prüfung selbst und fragt nur nach, wenn die Bank den Namen nicht bestätigen konnte. Warum es diesmal nicht so weit kam, steht im Fehlerprotokoll — meist hatte die Bank die Prüfung noch nicht abgeschlossen. Bitte diese Überweisung im Online-Banking auslösen und diese Meldung melden."
"This bank returns its result in a format this app cannot read, so it is not shown above. Check the recipient against the original document yourself — here, you are the check.","Diese Bank liefert ihr Prüfergebnis in einem Format, das diese App nicht lesen kann; deshalb steht es oben nicht. Bitte den Empfänger selbst gegen den Originalbeleg prüfen — hier sind Sie die Prüfung."
"The bank refused this order after the release. It was NOT sent.

{0}","Die Bank hat diesen Auftrag nach der Freigabe abgelehnt. Er wurde NICHT gesendet.

{0}"
